tweet_id,tweet_text,c_and_g,category,organization
7.19331238868181e+17,1 strong punishmnt cn prevent a lot of crimes in future.Let THIS b the one for minor driving. #JusticeForSidd @DelhiPolice @DCP_North_Delhi,0.0,,DelhiPolice
7.193328790759465e+17,My PERSONAL view- Father should go to jail too.We should learn to handle our kids &amp; cars.. #JusticeForSidd @DelhiPolice @DCP_North_Delhi,0.0,,DelhiPolice
7.193384607676088e+17,The minor was challand thrice last yr.But WHY challaned?Why wasnt stricter action taken agnst minor drivng?Cud hv saved a life! @dtptraffic,1.0,MINOR,dtptraffic
7.19346355366273e+17,@dtptraffic reckless driving by underage kids at Roop Nagar round about  esp. Early morning. Danger to self &amp; school going kids,1.0,MINOR,dtptraffic
7.19352429116928e+17,@RailMinIndia Request to run a unresrvd express train from UMB to DLI at 6 AM from UMB &amp; DLI 10 AM with same stops of 11078 Jhelum.,1.0,suggestion,RailMinIndia
7.193528347229348e+17,@vinodunny @dtptraffic please please help... Traffic chaos from Khanpur to tigri... M.B.road,1.0,JAM,dtptraffic
7.193548722193695e+17,@drm_kir @RailMinIndia Pity condition of toilet of B_11  12424. Complaint to 09717630982 but of no use.Please intervene.,1.0,dirty,RailMinIndia
7.19359660461953e+17,@dtptraffic  sir please send technical team to check red light at golok dham Chowk Rd at dwarka sec 6-10  not working from yesterday,1.0,LIGHT,dtptraffic
7.193609461881037e+17,@RailMinIndia   @gmscrailway   @sureshpprabhu  1st class again occupied by rly staff Hope sum action taken sum day Lpi-falaknuma  8.35mmts.,1.0,corruption,RailMinIndia
7.193637188033659e+17,@dtptraffic Just look at the traffic at bhairon marg .. As I can see it can be solved with little effort. Plz study https://t.co/MZIzQdhXAh,1.0,JAM,dtptraffic
7.193733558375547e+17,@HMOIndia We needed strong action against @dilipkpandey @DelhiPolice ...  Socialmedia demand Strong Action .. https://t.co/LhQ8pdTL2o,0.0,,DelhiPolice
7.193733805755679e+17,@ArvindKejriwal @dtptraffic sir is it mandatory to paste CNG sticker on CNG car ????,0.0,,dtptraffic
7.193760075353006e+17,@sureshpprabhu @RailMinIndia sir there are local train issues on western line mumbai! No trains at all! Kindly look into urgent basis please,0.0,,RailMinIndia
7.193789869717381e+17,@dtptraffic DL8S BK 1558 triple riding @ Ramakrishna Ashram Panchkuiya Road on 11 April 2016 @ 9.40 am https://t.co/b6UGMxmUq2,1.0,TRIPLE,dtptraffic
7.193821392386376e+17,Ratko Akshrdham k pas is Car me lge ballon khulne se piche a rhe biker k acident ho gya@BJPRajnathSingh @dtptraffic https://t.co/cbJo1dUtwG,0.0,,dtptraffic
7.193875815032627e+17,@dtptraffic massive jam on dwarka to NH 8 road.under Delhi cantt jurisdiction. https://t.co/8qgU7CQm0p,1.0,JAM,dtptraffic
7.193876512209879e+17,@dtptraffic traffic going from wrong side now,1.0,WRONG LANE,dtptraffic
7.193878066660639e+17,There is no footpath available in front of gb pant hospital for pedestrians. Car parked on pavement @dtptraffic https://t.co/sg0hnKOkGw,1.0,NO PEDESTRIAN,dtptraffic
7.193883578185892e+17,@dtptraffic what is the reason for Jam,1.0,JAM,dtptraffic
